iter	Passed	Remaining
402	12136	17979
403	12163	17944
404	12174	17885
405	12201	17850
406	12229	17818
407	12256	17783
408	12285	17752
409	12306	17709
410	12322	17658
411	12349	17625
412	12380	17596
413	12417	17577
414	12447	17545
415	12477	17517
416	12511	17492
417	12544	17466
418	12596	17467
419	12619	17426
420	12653	17401
421	12685	17374
422	12718	17349
423	12746	17315
424	12775	17283
425	12822	17277
426	12860	17258
427	12897	17237
428	12934	17215
429	12960	17180
430	12998	17160
431	13023	17123
432	13038	17074
433	13078	17055
434	13108	17025
435	13142	17001
436	13160	16955
437	13176	16907
438	13208	16878
439	13245	16857
440	13279	16832
441	13314	16809
442	13344	16778
443	13377	16752
444	13417	16733
445	13447	16704
446	13469	16663
447	13509	16645
448	13523	16595
449	13558	16571
450	13590	16543
451	13608	16498
452	13640	16470
453	13674	16445
454	13709	16421
455	13741	16393
456	13773	16365
457	13806	16339
458	13842	16315
459	13874	16286
460	13905	16257
461	13939	16232
462	13952	16181
463	13984	16154
464	14016	16126
465	14031	16078
466	14062	16050
467	14104	16033
468	14142	16011
469	14152	15959
470	14183	15930
471	14216	15903
472	14235	15860
473	14270	15836
474	14301	15807
475	14328	15773
476	14357	15742
477	14385	15709
478	14416	15680
479	14429	15631
480	14461	15604
481	14475	15556
482	14503	15523
483	14532	15493
484	14562	15463
485	14591	15432
486	14619	15399
487	14649	15369
488	14660	15319
489	14690	15289
490	14721	15261
491	14754	15234
492	14796	15217
493	14818	15178
494	14850	15150
495	14880	15120
496	14909	15089
497	14940	15060
498	14974	15034
499	14990	14990
500	15019	14959
501	15043	14924
502	15060	14880
503	15090	14851
504	15119	14820
505	15153	14793
506	15172	14753
507	15189	14710
508	15221	14682
509	15234	14637
510	15247	14590
511	15259	14544
512	15293	14518
513	15325	14490
514	15355	14461
515	15388	14433
516	15421	14407
517	15457	14383
518	15489	14355
519	15520	14326
520	15550	14297
521	15579	14266
522	15610	14237
523	15665	14230
524	15688	14194
525	15723	14169
526	15760	14145
527	15777	14104
528	15789	14058
529	15801	14012
530	15837	13988
531	15853	13946
532	15884	13917
533	15915	13888
534	15948	13862
535	15995	13847
536	16030	13821
537	16041	13775
538	16072	13746
539	16107	13721
540	16140	13693
541	16172	13665
542	16203	13637
543	16236	13609
544	16267	13580
545	16299	13552
546	16330	13523
547	16362	13496
548	16393	13467
549	16421	13435
550	16453	13407
551	16483	13377
552	16494	13332
553	16510	13292
554	16541	13262
555	16573	13234
556	16606	13207
557	16637	13178
558	16667	13148
559	16688	13112
560	16717	13081
561	16754	13057
562	16784	13028
563	16815	12999
564	16847	12970
565	16858	12926
566	16890	12898
567	16902	12855
568	16916	12813
569	16928	12770
570	16961	12743
571	16996	12717
572	17029	12690
573	17065	12665
574	17099	12638
575	17132	12611
576	17165	12584
577	17183	12545
578	17215	12517
579	17250	12491
580	17283	12464
581	17305	12429
582	17337	12401
583	17371	12374
584	17402	12345
585	17436	12318
586	17468	12290
587	17498	12261
588	17515	12222
589	17548	12194
590	17580	12166
591	17609	12135
592	17639	12106
593	17671	12078
594	17710	12055
595	17745	12028
596	17777	12000
597	17807	11971
598	17839	11942
599	17871	11914
600	17902	11885
601	17933	11856
602	17972	11832
603	18002	11803
604	18035	11775
605	18067	11747
606	18086	11709
607	18117	11681
608	18148	11652
609	18182	11624
610	18220	11600
611	18255	11573
612	18290	11547
613	18325	11520
614	18357	11491
615	18391	11464
616	18424	11436
617	18457	11409
618	18492	11382
619	18506	11342
620	18529	11308
621	18561	11280
622	18593	11251
623	18623	11221
624	18663	11198
625	18701	11173
626	18742	11149
627	18776	11122
628	18809	11094
629	18842	11066
630	18878	11040
631	18910	11011
632	18944	10983
633	18975	10954
634	19008	10926
635	19022	10887
636	19058	10860
637	19094	10834
638	19128	10806
639	19163	10779
640	19196	10751
641	19231	10724
642	19264	10695
643	19275	10655
644	19309	10627
645	19340	10598
646	19373	10569
647	19404	10540
648	19417	10501
649	19449	10472
650	19469	10437
651	19503	10409
652	19537	10382
653	19572	10354
654	19605	10326
655	19617	10286
656	19650	10258
657	19667	10222
658	19696	10192
659	19730	10164
660	19763	10135
661	19794	10106
662	19825	10077
663	19854	10047
664	19889	10019
665	19933	9996
666	19975	9973
667	20009	9944
668	20028	9909
669	20039	9869
670	20068	9840
671	20099	9810
672	20131	9781
673	20159	9750
674	20188	9720
675	20221	9691
676	20232	9652
677	20262	9623
