iter	Passed	Remaining
0	29	29020
1	63	31664
2	89	29900
3	126	31440
4	156	31167
5	167	27710
6	199	28326
7	232	28788
8	266	29348
9	299	29683
10	321	28891
11	364	29972
12	396	30066
13	411	29013
14	453	29810
15	492	30307
16	530	30662
17	567	30936
18	598	30912
19	620	30384
20	655	30540
21	677	30106
22	714	30370
23	748	30435
24	778	30351
25	809	30342
26	829	29907
27	861	29921
28	894	29935
29	919	29735
30	960	30010
31	994	30075
32	1030	30205
33	1066	30302
34	1089	30044
35	1121	30023
36	1155	30065
37	1191	30164
38	1228	30282
39	1267	30420
40	1338	31317
41	1415	32289
42	1463	32574
43	1508	32783
44	1539	32678
45	1563	32420
46	1604	32528
47	1642	32584
48	1682	32663
49	1726	32802
50	1770	32951
51	1806	32939
52	1842	32916
53	1877	32898
54	1910	32820
55	1944	32771
56	1975	32678
57	2006	32583
58	2034	32449
59	2068	32398
60	2101	32349
61	2140	32387
62	2177	32380
63	2215	32406
64	2235	32161
65	2270	32124
66	2304	32094
67	2338	32045
68	2373	32025
69	2407	31981
70	2438	31904
71	2470	31839
72	2498	31722
73	2527	31631
74	2571	31712
75	2600	31622
76	2628	31508
77	2657	31418
78	2686	31319
79	2716	31238
80	2746	31160
81	2776	31079
82	2812	31071
83	2842	30999
84	2871	30910
85	2901	30832
86	2932	30772
87	2962	30703
88	2994	30649
89	3024	30583
90	3056	30526
91	3086	30465
92	3119	30422
93	3149	30356
94	3180	30299
95	3212	30253
96	3244	30207
97	3262	30031
98	3294	29979
99	3324	29919
100	3353	29846
101	3383	29786
102	3412	29720
103	3444	29675
104	3472	29594
105	3504	29558
106	3534	29499
107	3566	29454
108	3597	29404
109	3628	29359
110	3665	29353
111	3698	29322
112	3727	29262
113	3748	29129
114	3779	29083
115	3808	29023
116	3837	28958
117	3866	28896
118	3895	28840
119	3924	28777
120	3953	28720
121	3986	28687
122	4021	28672
123	4056	28654
124	4092	28646
125	4128	28638
126	4141	28470
127	4173	28432
128	4206	28398
129	4235	28343
130	4267	28306
131	4297	28260
132	4319	28155
133	4347	28096
134	4380	28069
135	4412	28034
136	4443	27992
137	4471	27933
138	4502	27887
139	4532	27840
140	4562	27794
141	4594	27760
142	4632	27760
