iter	Recall	CrossEntropy
0	0.8609467456	0.6845760286
100	0.9408284024	0.3382698312
200	0.9467455621	0.2643709407
300	0.9526627219	0.2333563495
400	0.9526627219	0.214768213
500	0.9556213018	0.1959239372
600	0.9674556213	0.1804306614
700	0.9704142012	0.1646457456
800	0.9763313609	0.1506762346
900	0.9792899408	0.1381025568
999	0.9852071006	0.1258399761
