iter	Recall	CrossEntropy
0	0.8516320475	0.6882553603
100	0.9347181009	0.3352247295
200	0.9465875371	0.2534518773
300	0.9525222552	0.2177630453
400	0.9554896142	0.1967031051
500	0.9584569733	0.1768510017
600	0.9614243323	0.1602327444
700	0.9703264095	0.1439217638
800	0.9792284866	0.1320267567
900	0.9821958457	0.1196739857
999	0.9851632047	0.1091726461
