iter	Passed	Remaining
0	7	7870
1	38	19007
2	67	22574
3	95	23662
4	122	24446
5	157	26074
6	190	27077
7	204	25383
8	237	26131
9	267	26433
10	298	26879
11	331	27324
12	362	27536
13	393	27685
14	421	27688
15	437	26899
16	470	27222
17	506	27607
18	539	27832
19	572	28057
20	584	27257
21	615	27351
22	651	27662
23	671	27312
24	703	27419
25	733	27495
26	764	27553
27	793	27536
28	821	27512
29	852	27577
30	881	27553
31	899	27220
32	929	27225
33	958	27240
34	991	27349
35	1012	27102
36	1043	27153
37	1077	27270
38	1099	27091
39	1131	27144
40	1161	27171
41	1193	27217
42	1225	27263
43	1254	27253
44	1289	27361
45	1349	27980
46	1417	28744
47	1463	29020
48	1505	29224
49	1548	29426
50	1588	29557
51	1625	29638
52	1665	29754
53	1704	29868
54	1744	29974
55	1783	30063
56	1822	30159
57	1845	29969
58	1878	29965
59	1912	29956
60	1945	29942
61	1974	29871
62	2010	29895
63	2045	29908
64	2082	29951
65	2117	29958
66	2149	29930
67	2176	29829
68	2208	29802
69	2240	29768
70	2272	29736
71	2302	29675
72	2332	29621
73	2365	29606
74	2396	29553
75	2430	29545
76	2466	29566
77	2501	29564
78	2532	29530
79	2563	29483
80	2593	29420
81	2622	29361
82	2652	29301
83	2682	29246
84	2709	29163
85	2738	29103
86	2760	28969
87	2790	28922
88	2819	28858
89	2848	28796
90	2876	28729
91	2908	28703
92	2934	28619
93	2949	28431
94	2975	28343
95	3003	28281
96	3035	28256
97	3064	28203
98	3092	28141
99	3120	28088
100	3150	28039
101	3181	28012
102	3215	28003
103	3247	27982
104	3282	27976
105	3314	27953
106	3344	27913
107	3373	27866
108	3405	27837
109	3423	27700
110	3452	27648
111	3482	27609
112	3511	27562
113	3539	27511
114	3569	27469
115	3599	27432
116	3628	27381
117	3659	27356
118	3691	27326
119	3722	27297
120	3754	27274
121	3787	27258
122	3817	27221
123	3852	27219
124	3883	27186
125	3895	27018
126	3929	27012
127	3960	26980
128	3990	26941
129	4018	26895
130	4045	26838
131	4075	26801
132	4105	26761
133	4134	26721
134	4159	26650
135	4190	26623
136	4220	26588
137	4252	26562
138	4287	26556
139	4319	26534
140	4350	26506
141	4379	26463
142	4408	26423
143	4438	26383
144	4471	26365
145	4500	26326
146	4530	26288
147	4562	26266
148	4594	26240
149	4625	26211
150	4652	26159
151	4682	26125
152	4717	26113
153	4746	26074
154	4773	26021
155	4801	25975
156	4835	25963
157	4870	25957
158	4902	25928
159	4932	25895
160	4960	25849
161	4994	25833
162	5024	25801
163	5052	25754
164	5069	25654
165	5098	25615
166	5120	25540
167	5151	25513
168	5179	25466
169	5212	25450
170	5246	25435
171	5280	25417
172	5312	25396
173	5343	25368
174	5373	25331
175	5410	25329
176	5441	25302
177	5475	25287
178	5512	25283
179	5549	25280
180	5583	25263
181	5614	25235
182	5643	25195
183	5650	25059
184	5679	25022
185	5700	24946
186	5733	24927
187	5767	24912
188	5797	24878
189	5830	24856
190	5861	24825
191	5892	24795
192	5924	24770
193	5960	24762
194	5994	24745
195	6025	24718
196	6037	24609
197	6069	24586
198	6102	24561
199	6130	24522
200	6160	24489
201	6189	24451
202	6219	24418
203	6241	24354
204	6269	24312
205	6303	24296
206	6325	24231
207	6356	24203
208	6390	24185
209	6420	24151
210	6451	24125
211	6483	24098
212	6515	24073
213	6550	24059
214	6585	24044
215	6620	24029
216	6650	23997
217	6681	23967
218	6692	23866
219	6723	23836
220	6755	23813
221	6786	23784
222	6817	23752
223	6847	23720
224	6882	23705
225	6903	23643
226	6935	23618
227	6968	23596
228	6999	23566
229	7029	23534
230	7041	23441
231	7072	23412
